age,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
26,24.53446809,24.4963671,23.592339,24.165918,25.78032392,26.64374058,24.29463384,24.99507887,37.30261273,45.42997479,48.41991675
27,22.69527764,23.06087125,23.00492023,24.30463584,25.24906681,25.47982215,23.76785197,26.18977877,38.5105691,46.4652892,48.42581866
28,21.04023121,21.57941206,21.61889253,23.74073061,24.82695368,24.62878397,22.2456182,25.35978141,36.7222824,44.74182211,46.50179572
29,19.99874335,19.50130648,19.53352053,21.30354165,23.17597679,22.78542121,20.34934239,22.58471378,34.15168247,42.54932848,44.89818692
30,17.98020513,18.93367917,17.8868078,19.50749521,21.09677603,21.37283232,19.04272977,21.08861469,31.10740941,39.96617174,42.88963308
31,17.46717884,16.96024414,16.86719799,17.49943932,19.06333799,19.63516693,18.01370556,20.0341499,29.25452841,36.71654498,40.60624065
32,16.73701221,16.30969223,15.1451481,16.75924614,17.48784454,17.99166097,16.65840655,19.09730205,28.47414007,34.53810105,36.86473813
33,16.02346338,15.45064847,14.80325194,15.41437225,16.87892814,16.90304821,15.29313865,17.69871178,27.13420279,33.94611281,35.17762966
34,15.29239783,14.61702064,13.95149232,14.89512841,15.46203778,16.09657163,14.15910833,16.21562831,25.33957902,32.04062217,34.20411993
35,14.67499649,13.95922774,13.39222835,13.74427052,15.07733692,14.69727253,13.49942552,14.96273137,23.17964035,29.78318705,32.30260967
36,13.8088347,13.51480657,12.68126292,13.10714997,13.99518653,14.09260613,12.35161568,14.33292753,21.64153262,27.56260992,29.94894621
37,13.17144258,12.42632858,11.95270856,12.44258716,13.1708085,12.95276051,11.95885049,12.96131296,20.51472271,25.77283898,28.08122764
38,12.18802768,12.1904597,11.31081504,11.74666375,12.67019435,12.29504388,11.23882234,12.71956177,19.57507439,24.62729014,26.07548793
39,11.48758004,11.05899341,10.59916195,11.08597695,11.93765591,11.8251558,10.52166993,11.75369065,18.63841644,23.44379839,25.25545304
40,11.24831534,10.65162381,10.03618724,10.63680553,11.36882011,11.27298708,10.07461641,11.3399676,17.45750053,22.65337814,23.96373574
41,10.65665206,10.33434677,9.462261606,9.779315903,10.7044483,10.4372323,9.719851994,10.8077602,16.63813399,21.22509342,23.12677858
42,10.1547424,10.07416434,9.027055621,9.321492681,9.820946701,10.0521227,9.05366777,10.33542654,16.20114822,19.8693939,21.43008033
43,9.969916568,9.553853551,8.94357027,8.973060338,9.464999083,9.569332141,8.690084133,9.851873424,15.7039819,19.99437325,20.58626606
44,9.732701927,9.60642405,8.530894877,8.951194959,9.317540486,9.135513313,8.257413216,9.439015869,15.46211947,19.29826933,20.75922953
45,9.843317837,9.652504931,9.299127505,9.461990076,10.09545754,10.00502539,9.056967408,10.11589249,16.29081443,20.64591131,21.91844672
46,9.52984078,9.291662283,8.709917996,8.748417287,8.910275606,8.867802657,7.856146605,8.563008454,13.6653065,17.82754862,19.12135978
47,8.84216425,8.998458804,8.27812334,8.56432393,8.784722721,8.229586629,7.471377953,8.284147976,13.35015913,16.76169042,17.97423784
48,8.544147357,8.510922804,8.09750988,8.145248675,8.577584148,8.192634741,7.167930581,8.116651488,13.05593864,16.4231145,17.12065681
49,8.974725609,8.300885566,7.74399678,7.991738256,8.273331318,8.133266556,7.053043084,7.577867682,12.81663332,16.21433867,16.82678094
50,8.471106154,9.046567495,7.914971439,8.068316859,8.569286281,8.283138986,7.214582083,7.918006231,12.7704934,16.37167301,17.10122478
51,8.91745142,8.479636451,8.332385759,8.023189151,8.275278849,8.304654194,7.240295058,7.939098975,12.59565813,15.35125563,16.5536297
52,9.092397989,9.011270871,7.950408653,8.590321954,7.982062701,7.935154829,7.032160994,7.726129802,12.53923811,14.96029966,15.58126187
53,8.411750139,8.637462856,7.981125775,7.813760216,8.44776829,7.623303769,6.631693691,7.67452775,12.24802031,14.92920883,15.1550478
54,9.078396946,7.86871566,7.786533433,7.850190084,7.765992971,8.104003434,6.636889891,7.55572051,12.42653616,15.01695358,15.77780944
55,8.973871029,9.61363052,8.060596321,8.567916965,8.712191358,8.384710724,7.787124378,8.272529939,13.15699614,15.97007908,16.28163243
56,9.435099409,8.925266552,9.090651003,8.077591504,8.433512982,8.407814001,6.730324868,8.254992973,12.48417673,14.90101893,15.07831922
57,10.86854742,9.28328957,8.108364164,8.929641369,7.746603568,8.02753689,6.72879979,7.449951946,12.16139931,14.4119077,14.62497594
58,9.516083548,10.22032146,8.024828958,7.893685175,8.570648272,7.49632055,6.637370024,7.61142072,11.68123229,14.10567684,14.29169443
59,8.891364551,8.840813552,9.391765659,8.122971149,7.697768535,8.184114256,6.021857854,7.426126239,11.98045664,14.08640509,14.21356601
60,7.11016506,9.293884017,8.862121606,9.845726468,8.264681588,7.873930529,7.206732206,7.299229008,12.18470141,14.74600209,14.37994751
61,6.674177332,6.600568326,8.026838519,8.450807694,9.315485018,7.989038836,6.199518508,7.941867483,11.21666001,13.27638362,13.80819704
